relative_jpg,requested_utc,returned_utc,offset_seconds,helioviewer_id,jp2_sha256,status,reason
2015/01/02/HMI.m2015.01.02_13.00.00.jpg,2015-01-02T13:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/02/HMI.m2015.01.02_15.00.00.jpg,2015-01-02T15:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/02/HMI.m2015.01.02_21.00.00.jpg,2015-01-02T21:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/03/HMI.m2015.01.03_00.00.00.jpg,2015-01-03T00:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/03/HMI.m2015.01.03_02.00.00.jpg,2015-01-03T02:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/03/HMI.m2015.01.03_05.00.00.jpg,2015-01-03T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/03/HMI.m2015.01.03_08.00.00.jpg,2015-01-03T08:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/03/HMI.m2015.01.03_09.00.00.jpg,2015-01-03T09:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/03/HMI.m2015.01.03_11.00.00.jpg,2015-01-03T11:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/03/HMI.m2015.01.03_14.00.00.jpg,2015-01-03T14:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/03/HMI.m2015.01.03_17.00.00.jpg,2015-01-03T17:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/03/HMI.m2015.01.03_19.00.00.jpg,2015-01-03T19:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/03/HMI.m2015.01.03_21.00.00.jpg,2015-01-03T21:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/04/HMI.m2015.01.04_13.00.00.jpg,2015-01-04T13:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/01/04/HMI.m2015.01.04_14.00.00.jpg,2015-01-04T14:00:00Z,,,,,skipped_existing,destination JPEG already exists
