label,goes_class,original_goes_class,file_size_bytes,fl_lon,fl_lat,rest_fl,rest_lon,rest_lat
2010/12/06/HMI.m2010.12.06_07.00.00.jpg,0,NF,43940,unk,unk,,,
2010/12/06/HMI.m2010.12.06_08.00.00.jpg,0,B1.9,43875,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_09.00.00.jpg,0,B1.9,43948,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_10.00.00.jpg,0,B1.9,44143,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_11.00.00.jpg,0,B1.9,44030,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_12.00.00.jpg,0,B1.9,44177,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_13.00.00.jpg,0,B1.9,44182,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_14.00.00.jpg,0,B1.9,44249,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_15.00.00.jpg,0,B1.9,44084,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_16.00.00.jpg,0,B1.9,44131,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_17.00.00.jpg,0,B1.9,44228,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_18.00.00.jpg,0,B1.9,44169,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_19.00.00.jpg,0,B1.9,44359,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_20.00.00.jpg,0,B1.9,44339,-38.5479308163,16.0,['B1.9'],[-38.5479308163],[16.0]
2010/12/06/HMI.m2010.12.06_21.00.00.jpg,0,B1.9,44404,-38.5479308163,16.0,"['B1.9', 'B1.3']","[-38.5479308163, -9.549675635949882]","[16.0, 30.32041904758515]"
2010/12/06/HMI.m2010.12.06_22.00.00.jpg,0,B1.9,44365,-38.5479308163,16.0,"['B1.9', 'B1.3']","[-38.5479308163, -9.549675635949882]","[16.0, 30.32041904758515]"
2010/12/06/HMI.m2010.12.06_23.00.00.jpg,0,B1.9,44381,-38.5479308163,16.0,"['B1.9', 'B1.3']","[-38.5479308163, -9.549675635949882]","[16.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_00.00.00.jpg,0,B1.9,44395,-38.5479308163,16.0,"['B1.9', 'B1.3']","[-38.5479308163, -9.549675635949882]","[16.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_01.00.00.jpg,0,B1.9,44365,-38.5479308163,16.0,"['B1.9', 'B1.3']","[-38.5479308163, -9.549675635949882]","[16.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_02.00.00.jpg,0,B1.9,44471,-38.5479308163,16.0,"['B1.9', 'B1.3']","[-38.5479308163, -9.549675635949882]","[16.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_03.00.00.jpg,0,B1.9,44467,-38.5479308163,16.0,"['B1.9', 'B1.3']","[-38.5479308163, -9.549675635949882]","[16.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_04.00.00.jpg,0,B1.9,44543,-38.5479308163,16.0,"['B1.9', 'B1.3']","[-38.5479308163, -9.549675635949882]","[16.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_05.00.00.jpg,0,B1.9,44581,-38.5479308163,16.0,"['B1.9', 'B1.3']","[-38.5479308163, -9.549675635949882]","[16.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_06.00.00.jpg,0,B1.9,44510,-38.5479308163,16.0,"['B1.9', 'B1.4', 'B1.4', 'B1.3']","[-38.5479308163, -0.1138490336, -0.1138490336, -9.549675635949882]","[16.0, 31.0, 31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_07.00.00.jpg,0,B1.9,44400,-38.5479308163,16.0,"['B1.9', 'B1.4', 'B1.4', 'B1.3']","[-38.5479308163, -0.1138490336, -0.1138490336, -9.549675635949882]","[16.0, 31.0, 31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_08.00.00.jpg,0,B1.4,44429,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_09.00.00.jpg,0,B1.4,44530,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_10.00.00.jpg,0,B1.4,44462,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_11.00.00.jpg,0,B1.4,44480,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_12.00.00.jpg,0,B1.4,44398,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_13.00.00.jpg,0,B1.4,44401,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_14.00.00.jpg,0,B1.4,44452,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_15.00.00.jpg,0,B1.4,44465,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_16.00.00.jpg,0,B1.4,44462,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_17.00.00.jpg,0,B1.4,44443,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_18.00.00.jpg,0,B1.4,44596,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_20.00.00.jpg,0,B1.4,44727,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, -9.549675635949882]","[31.0, 30.32041904758515]"
2010/12/07/HMI.m2010.12.07_21.00.00.jpg,0,B1.4,44560,-0.1138490336,31.0,['B1.4'],[-0.1138490336],[31.0]
2010/12/07/HMI.m2010.12.07_22.00.00.jpg,0,B1.4,44605,-0.1138490336,31.0,['B1.4'],[-0.1138490336],[31.0]
2010/12/07/HMI.m2010.12.07_23.00.00.jpg,0,B1.4,44757,-0.1138490336,31.0,['B1.4'],[-0.1138490336],[31.0]
2010/12/08/HMI.m2010.12.08_00.00.00.jpg,0,B1.4,44706,-0.1138490336,31.0,['B1.4'],[-0.1138490336],[31.0]
2010/12/08/HMI.m2010.12.08_01.00.00.jpg,0,B1.4,44715,-0.1138490336,31.0,['B1.4'],[-0.1138490336],[31.0]
2010/12/08/HMI.m2010.12.08_02.00.00.jpg,0,B1.4,44569,-0.1138490336,31.0,['B1.4'],[-0.1138490336],[31.0]
2010/12/08/HMI.m2010.12.08_03.00.00.jpg,0,B1.4,44681,-0.1138490336,31.0,['B1.4'],[-0.1138490336],[31.0]
2010/12/08/HMI.m2010.12.08_04.00.00.jpg,0,B1.4,44584,-0.1138490336,31.0,"['B1.4', 'B1.3']","[-0.1138490336, 11.8741240042]","[31.0, 31.0]"
