label,goes_class
2010/12/25/HMI.m2010.12.25_20.00.00.jpg,0
2010/12/26/HMI.m2010.12.26_09.00.00.jpg,0
2010/12/27/HMI.m2010.12.27_12.00.00.jpg,0
2011/01/07/HMI.m2011.01.07_06.00.00.jpg,0
2011/01/10/HMI.m2011.01.10_06.00.00.jpg,0
2011/01/12/HMI.m2011.01.12_06.00.00.jpg,0
2011/01/25/HMI.m2011.01.25_23.00.00.jpg,0
2011/01/29/HMI.m2011.01.29_01.00.00.jpg,0
2011/02/06/HMI.m2011.02.06_19.00.00.jpg,0
2011/02/15/HMI.m2011.02.15_14.00.00.jpg,1
2011/02/22/HMI.m2011.02.22_09.00.00.jpg,0
2011/02/23/HMI.m2011.02.23_09.00.00.jpg,1
2011/03/01/HMI.m2011.03.01_04.00.00.jpg,0
2011/03/07/HMI.m2011.03.07_09.00.00.jpg,1
2011/03/07/HMI.m2011.03.07_23.00.00.jpg,1
2011/03/13/HMI.m2011.03.13_20.00.00.jpg,1
2011/03/17/HMI.m2011.03.17_01.00.00.jpg,0
2011/03/17/HMI.m2011.03.17_12.00.00.jpg,0
2011/03/17/HMI.m2011.03.17_13.00.00.jpg,0
2011/03/23/HMI.m2011.03.23_00.00.00.jpg,1
2011/03/28/HMI.m2011.03.28_22.00.00.jpg,0
2011/03/29/HMI.m2011.03.29_21.00.00.jpg,0
2011/05/03/HMI.m2011.05.03_15.00.00.jpg,0
2011/05/09/HMI.m2011.05.09_14.00.00.jpg,0
2011/05/11/HMI.m2011.05.11_00.00.00.jpg,0
2011/05/13/HMI.m2011.05.13_06.00.00.jpg,0
2011/05/24/HMI.m2011.05.24_10.00.00.jpg,0
2011/05/25/HMI.m2011.05.25_07.00.00.jpg,0
2011/05/27/HMI.m2011.05.27_23.00.00.jpg,1
2011/05/29/HMI.m2011.05.29_08.00.00.jpg,1
2011/05/30/HMI.m2011.05.30_19.00.00.jpg,0
2011/06/02/HMI.m2011.06.02_19.00.00.jpg,0
2011/06/03/HMI.m2011.06.03_22.00.00.jpg,0
2011/06/07/HMI.m2011.06.07_02.00.00.jpg,1
2011/06/08/HMI.m2011.06.08_09.00.00.jpg,0
2011/06/09/HMI.m2011.06.09_17.00.00.jpg,0
2011/06/14/HMI.m2011.06.14_00.00.00.jpg,1
2011/06/14/HMI.m2011.06.14_11.00.00.jpg,1
2011/06/23/HMI.m2011.06.23_05.00.00.jpg,0
2011/10/01/HMI.m2011.10.01_09.00.00.jpg,1
2011/10/01/HMI.m2011.10.01_12.00.00.jpg,1
2011/10/01/HMI.m2011.10.01_14.00.00.jpg,1
2011/10/02/HMI.m2011.10.02_04.00.00.jpg,1
2011/10/02/HMI.m2011.10.02_22.00.00.jpg,0
2011/10/05/HMI.m2011.10.05_04.00.00.jpg,0
2011/10/08/HMI.m2011.10.08_05.00.00.jpg,0
2011/10/12/HMI.m2011.10.12_12.00.00.jpg,0
2011/10/20/HMI.m2011.10.20_02.00.00.jpg,1
